Date,Closing price   XAU/USD (Troy Ounce=31.1035 grams),Change Price,Change %,Indian Rs (85.53),UAE Dirham AED ( 3.67), Sri Lankan Rupee LKR (295.40),South African Rand R(19.10),Singapore Dollar sD  (1.34),Pakistani Rupee R(279.66),Japanese Yen (145.53),Chinese Yuan (7.72), Canadian Dollar (1.42), Australian Dollar AUD(1.64),Malaysian Ringgit RM (4.44),Russion ruble R(84.44)
"Sep 19, 2022","1,666.20",-5.50,-0.329006401,142510.086,6114.954,492195.48,31824.42,2232.708,465969.492,242482.086,12863.064,2366.004,2732.568,7397.928,140693.928
"Sep 16, 2022","1,671.70",6.30,0.378287498,142980.501,6135.139,493820.18,31929.47,2240.078,467507.622,243282.501,12905.524,2373.814,2741.588,7422.348,141158.348
"Sep 15, 2022","1,665.40",-31.10,-1.833185971,142441.662,6112.018,491959.16,31809.14,2231.636,465745.764,242365.662,12856.888,2364.868,2731.256,7394.376,140626.376
"Sep 14, 2022","1,696.50",-8.50,-0.498533724,145101.645,6226.155,501146.1,32403.15,2273.31,474443.19,246891.645,13096.98,2409.03,2782.26,7532.46,143252.46
"Sep 13, 2022","1,705.00",-23.10,-1.336728199,145828.65,6257.35,503657,32565.5,2284.7,476820.3,248128.65,13162.6,2421.1,2796.2,7570.2,143970.2
"Sep 12, 2022","1,728.10",11.90,0.693392379,147804.393,6342.127,510480.74,33006.71,2315.654,483280.446,251490.393,13340.932,2453.902,2834.084,7672.764,145920.764
"Sep 9, 2022","1,716.20",8.20,0.480093677,146786.586,6298.454,506965.48,32779.42,2299.708,479952.492,249758.586,13249.064,2437.004,2814.568,7619.928,144915.928
"Sep 8, 2022","1,708.00",-7.30,-0.425581531,146085.24,6268.36,504543.2,32622.8,2288.72,477659.28,248565.24,13185.76,2425.36,2801.12,7583.52,144223.52
"Sep 7, 2022","1,715.30",14.90,0.876264408,146709.609,6295.151,506699.62,32762.23,2298.502,479700.798,249627.609,13242.116,2435.726,2813.092,7615.932,144839.932
"Sep 6, 2022","1,700.40",-9.40,-0.549771903,145435.212,6240.468,502298.16,32477.64,2278.536,475533.864,247459.212,13127.088,2414.568,2788.656,7549.776,143581.776
"Sep 2, 2022","1,709.80",13.20,0.778026642,146239.194,6274.966,505074.92,32657.18,2291.132,478162.668,248827.194,13199.656,2427.916,2804.072,7591.512,144375.512
"Sep 1, 2022","1,696.60",-16.20,-0.94581971,145110.198,6226.522,501175.64,32405.06,2273.444,474471.156,246906.198,13097.752,2409.172,2782.424,7532.904,143260.904
"Aug 31, 2022","1,712.80",-10.40,-0.603528319,146495.784,6285.976,505961.12,32714.48,2295.152,479001.648,249263.784,13222.816,2432.176,2808.992,7604.832,144628.832
"Aug 30, 2022","1,723.20",-13.40,-0.771622711,147385.296,6324.144,509033.28,32913.12,2309.088,481910.112,250777.296,13303.104,2446.944,2826.048,7651.008,145507.008
"Aug 29, 2022","1,736.60",0.50,0.028800184,148531.398,6373.322,512991.64,33169.06,2327.044,485657.556,252727.398,13406.552,2465.972,2848.024,7710.504,146638.504
"Aug 26, 2022","1,736.10",-21.60,-1.228878648,148488.633,6371.487,512843.94,33159.51,2326.374,485517.726,252654.633,13402.692,2465.262,2847.204,7708.284,146596.284
"Aug 25, 2022","1,757.70",9.90,0.566426365,150336.081,6450.759,519224.58,33572.07,2355.318,491558.382,255798.081,13569.444,2495.934,2882.628,7804.188,148420.188
"Aug 24, 2022","1,747.80",1.00,0.057247538,149489.334,6414.426,516300.12,33382.98,2342.052,488789.748,254357.334,13493.016,2481.876,2866.392,7760.232,147584.232
"Aug 23, 2022","1,746.80",12.80,0.738177624,149403.804,6410.756,516004.72,33363.88,2340.712,488510.088,254211.804,13485.296,2480.456,2864.752,7755.792,147499.792
